Date,Netflow1001k,Netflow1k10k,Netflow10k100k
20/6/2022, -2652894.72, -1913708.16,5099552.64
21/6/2022, -2236727.2, -2023694.24,3517896.96
22/6/2022,-1619993.07, -1284595.47,13053991.86
23/6/2022,-536589.23, -606291.23,-2141593.95
24/6/2022,-353584.98, 152910.9, 109042.08
25/6/2022,-1514417.26,-257974.26,480675.9
26/6/2022,-245836.8,3769148.4,14293454.4
27/6/2022,-219045.9,-359552.7,-133388.1
28/6/2022,-8331080.67, 2158316.4,-12731074.83
29/6/2022,528564,1130505.12,4738628.08
30/6/2022,1775398.52,6917725.64,-5231666.02
1/7/2022,1474748.22,-4595238.78,-2434.08
2/7/2022,-397489.84,-1322907.52,2703846.64
3/7/2022,-265533.7,-195428.58,1103522.16
4/7/2022,1134932.48,-3874081.64,376184.27
5/7/2022,-1125821.44,105989.12,-163052.16
6/7/2022,308799.51,65999.76,836693.16
